sensor,ts,month,weekdate,hour,speed,lat,lon
767768,1451775600.0,01,6,15,64.51579520697167,34.11906,-118.162079
772513,1451775600.0,01,6,15,46.94172113289759,34.068706,-118.23660500000001
767751,1451779200.0,01,6,16,65.24053649237473,34.093354999999995,-118.20615600000001
767760,1451779200.0,01,6,16,67.1360702614379,34.112911,-118.176901
767768,1451779200.0,01,6,16,64.62009803921568,34.11906,-118.162079
772513,1451779200.0,01,6,16,50.25966775599128,34.068706,-118.23660500000001
767751,1451782800.0,01,6,17,64.5123910675381,34.093354999999995,-118.20615600000001
767760,1451782800.0,01,6,17,65.6259531590414,34.112911,-118.176901
767768,1451782800.0,01,6,17,63.71697984749454,34.11906,-118.162079
772513,1451782800.0,01,6,17,40.686274509803916,34.068706,-118.23660500000001
767751,1451786400.0,01,6,18,63.929398148148145,34.093354999999995,-118.20615600000001
