sensor,ts,month,weekdate,hour,speed,lat,lon
767767,1451761200.0,01,6,11,67.57265795206972,34.119223999999996,-118.16211200000001
718045,1451764800.0,01,6,12,25.441176470588232,34.067125,-118.239732
760650,1451764800.0,01,6,12,26.295751633986924,34.075049,-118.23256200000002
767750,1451764800.0,01,6,12,67.33292483660131,34.093354999999995,-118.206354
767759,1451764800.0,01,6,12,67.51906318082789,34.113103,-118.177099
767767,1451764800.0,01,6,12,68.57570806100217,34.119223999999996,-118.16211200000001
718045,1451768400.0,01,6,13,37.778322440087145,34.067125,-118.239732
760650,1451768400.0,01,6,13,36.006535947712415,34.075049,-118.23256200000002
767750,1451768400.0,01,6,13,66.87608932461872,34.093354999999995,-118.206354
767759,1451768400.0,01,6,13,67.1367102396514,34.113103,-118.177099
