weekdate,hour,718045,760650,767750,767759,767767
2,15,36.25862229197908,53.55178876242149,65.76463634758456,66.69748062012656,67.1057930057988
2,16,24.442351908382307,48.43108290753054,65.636932462499,64.33352055784637,66.1959394363806
2,17,17.520241749019505,45.12722250433423,66.45785232362176,65.87139007649843,64.86729711328977
2,18,27.482005824670686,49.31446006652774,66.50231419934353,66.44702503808541,66.46397525676937
2,19,47.05911434994599,56.36361594899344,66.51204649626041,67.17038147861484,66.99556372549019
2,20,54.60459453178541,58.32946182938561,66.14012044632669,67.1408151199076,67.08570533769061
2,21,52.78267627226329,58.523475100352485,66.44866779698461,67.01219659647485,67.35571895424836
2,22,53.107118726611525,58.01602703333783,66.7022355844047,67.37733774796469,67.76081699346405
2,23,57.76521232930867,60.14811988767781,66.61701160118041,67.34349968057398,67.90924856053532
3,0,59.4107919238043,60.877124353672116,66.50804898027758,67.14047334745862,67.69236383442265
3,1,59.554249324641475,61.10147724419247,66.52091814796093,67.35599881034284,67.82446623093682
3,2,59.43837616961785,61.11150578006459,66.58878047447982,67.24763800763219,67.96967944228973
3,3,59.50930910021351,61.065228359862466,66.72092745043753,67.46542188634712,68.2560498366013
3,4,59.28634460664609,61.28035546839816,67.37246677740862,67.54020162664706,68.08274879396204
3,5,55.04936675066853,60.27097130179984,68.02554876117111,68.17612587432633,68.11358660130718
3,6,23.69263305902336,46.34904245417158,66.88664822054177,68.32368604943103,63.806341440422315
3,7,21.079375959785622,29.635964257758555,51.638422640245544,66.88473933303895,55.936279081076876
3,8,19.39062632378959,20.533767165402736,43.83768549125166,67.86921067454588,54.34842746215295
3,9,19.923675589252795,35.82469468309002,59.66325031576106,67.4891163285924,62.02641028633674
3,10,24.94658980601298,45.071873068118485,65.31241343885014,66.66726399424734,66.5113766339869
3,11,32.160415293184656,49.89589704675338,65.60086938155216,66.40760797517183,67.23719362745098
3,12,40.99978162755001,53.6862071600818,65.5277560749112,66.47866526461728,67.14704656862745
3,13,45.515821452928854,55.65247549074326,65.89872649179392,66.58115639932107,67.33450907072229
3,14,39.43467110648233,53.99411345734874,65.90555879903081,66.46594924305299,67.16068218954247
3,15,33.712314173577205,52.981370819121885,65.5964539542104,65.80801604592453,67.07700163398692
3,16,20.299942474662902,45.93497859810629,66.12897807496982,66.06148515692827,66.48446486928104
3,17,15.067528943811954,42.4713742441421,65.9718995931706,65.42385596599749,65.34871868191722
3,18,21.680382966434433,46.02334215559443,66.11719719582989,65.95054752403098,66.22521650326797
3,19,42.750189855430364,54.64124137847625,66.19179055637848,66.62978172732768,66.89837282135076
3,20,54.01046332893257,57.65801087697787,65.62961376741886,66.26553527661065,66.5229569327731
3,21,53.163944805452566,57.41825275338056,65.56603606036057,66.20273738074289,66.35349906629318
3,22,54.58318895122765,58.504089007022806,66.0536631774842,66.72977946039526,66.55899122807016
3,23,57.7869517195767,59.760305140574744,66.1469366913432,66.9262547657952,67.34363834422656
4,0,58.8599212295058,60.301399960398555,65.90884405367949,66.78355546448378,67.58608485060691
4,1,60.032587692128125,61.636176621645824,66.22111363776278,66.9867553501101,67.81617510893246
4,2,59.90768039109584,61.29916311950187,66.26476398397352,67.07192197338337,67.6459537276449
4,3,59.91628791089085,61.57433693919162,66.40660428166994,66.95552525871457,67.98802287581698
4,4,59.13225681686814,61.17035528180289,67.20362391573437,67.3582378378702,67.9157434640523
4,5,55.273762872059685,60.10213151864875,67.63200197279768,67.62842719032056,67.6479573218176
4,6,23.67438639985908,45.714207728380075,66.02722421945985,67.70740659837168,65.68275852007469
4,7,21.621678785403045,29.521363776992274,51.15610551067972,65.92481708960293,51.73843954248366
4,8,19.942276058799585,19.76951682881129,43.434655753390125,66.67501825493858,62.789195261437904
4,9,19.583367536096052,37.40207835531544,60.87023801992417,66.42177268136274,55.972863173046996
4,10,22.339775397479045,44.232817959709074,65.77156373426665,65.72162727534703,61.701045070806096
4,11,28.16866807262098,48.06423832393223,66.08188313966807,66.23659060023581,63.27567152972299
4,12,35.86359999010738,51.83213879410623,66.00636917807587,66.10245082905928,63.82873572505925
4,13,42.2417715786737,54.230773338266324,65.71236740194668,66.3269529941163,64.70494783810959
4,14,36.58524186753616,53.2118581990076,65.48822638137959,67.31844767999792,67.21229404956426
4,15,29.998573529411765,51.16261284606435,66.08404620994737,66.69414250268008,67.45856311274508
4,16,18.85860425936006,44.79020821291478,66.46014957295382,66.62171875872855,66.63188090050835
4,17,15.450358040202133,43.08038650889205,65.63404680700184,63.76770942101286,64.78160152218781
4,18,20.827641643848118,45.40865038088406,66.25535295399726,65.02459998659957,66.0218318809005
4,19,42.96596983268276,55.184276988929454,66.39159682843326,66.93092930845177,67.8788977396514
4,20,54.847569307589374,58.02485479450064,66.0173943135838,67.00134744484211,66.8954248366013
4,21,52.96449436917624,57.51335439268298,65.9316862754587,66.82060223008958,66.60669026870006
4,22,52.79865309595518,57.4269657446753,65.88334975120311,66.75146037098436,66.95674194575848
4,23,57.6187810668577,60.04623547773524,66.53507527279915,67.04298117638866,67.0292926198257
5,0,59.54143745062128,61.131750849564625,66.48262279983217,66.95801800252264,66.96697984749456
5,1,59.38878563049148,60.86811445508435,66.22510367572957,66.86508166863236,67.35642531318082
5,2,59.49411266192955,60.81817367270086,66.08863291820224,67.00853082461053,67.13549989974621
5,3,59.85186831387566,61.293564315071876,66.48996013206977,67.20330810686848,67.275883374183
5,4,59.25781151242548,61.341404698432726,67.12318679430462,67.4285708536676,67.02630741399122
5,5,57.638430929453584,60.751923547196654,67.6988519109484,67.67484535480858,65.28616047113289
5,6,33.12674239417989,52.11675123164949,67.70441940508744,68.40437145537224,61.197336504046056
5,7,24.322006399782136,38.52192383413313,59.28906802965089,67.70058033847657,59.68200344952795
5,8,20.683804164109315,30.576937806392316,53.74010134778606,67.58076698041542,65.43283632897604
5,9,22.295951599664992,44.119448995340235,65.07753225746526,65.40546548999187,66.07579477077026
5,10,27.671989016913237,47.67383413123085,65.79865146512664,66.3591186327129,63.45361493082081
5,11,35.83340578576074,51.44814740223575,65.98173344410864,65.91997737820618,63.295285510037345
5,12,40.29678961175435,53.582154781428244,66.01814877286384,66.16809651965362,65.38703022875816
5,13,40.40173650989976,54.02434280530393,66.04259726690792,67.27152220216666,66.74967946623093
5,14,32.371345433428,51.15113073053857,65.87511423915348,67.18176960326613,66.94077648420479
5,15,24.896118249770822,49.164584083839706,65.5577855392255,66.49281766628219,67.40593511710239
5,16,18.398236231565274,44.5705112580711,65.91858214575889,66.41603102117324,66.22418641067539
5,17,17.979489293794437,44.25803102348073,65.95693881719353,65.96084835249889,64.58117170479302
5,18,26.44600287593669,47.749857542897885,65.56918850873683,66.0420307658601,65.28334305944598
5,19,38.92967384453781,53.134157293408315,65.53224326767743,66.39689998075252,65.02700333605665
5,20,52.508037619873534,56.24293309134211,65.18705665114264,66.16599131391274,65.16298785296947
5,21,49.03325401637109,54.91416979500618,65.12622775208274,65.88118403077041,64.17753765501926
5,22,46.06530650721826,54.081050074350735,65.43371835476617,66.07808743867919,64.5000641923436
5,23,51.37890618813272,56.979984459833325,65.97887470644821,66.56367463652128,65.90875389044507
6,0,58.073697921434366,60.26444911297852,66.20226518953542,66.74890919330694,66.80418709150327
6,1,58.90420938535639,60.72719941035343,66.30669671083272,66.98104362115217,67.17686546840957
6,2,58.98629734589507,60.95373682568944,66.20272431986587,66.94853188782633,67.32769154456653
6,3,59.58864951762823,61.16363951052879,66.13905050814517,67.00322101062645,67.39622004357298
6,4,59.544447585993495,61.3505944150392,66.63376129494462,67.22540558796686,67.55297915319974
6,5,58.69212050538104,60.96700793011128,66.6038702827823,66.80642006802721,67.437368697479
6,6,58.047537009707874,60.534915101251634,67.0684570210751,67.37220901180986,67.73374353587589
6,7,57.56365616246496,60.5228742336728,67.2020824059598,67.80145692536273,67.97510893246185
6,8,55.07776388888886,59.44520063839488,67.1368564932433,67.75293608184013,68.11595860566449
6,9,43.76655009587362,55.3146506436007,66.85447604752494,67.8135294858684,67.66416122004357
6,10,36.28367977392977,52.36777529735805,66.56866365334643,67.68633291279474,67.23702205882353
6,11,34.90957345392369,51.09105876859292,66.26721350042867,67.58970213779956,67.41111675225645
6,12,29.06354768416968,48.004350034335154,65.9948245341584,67.42378406383921,67.17381672113291
6,13,25.89795392873953,47.0582841983368,65.874695133025,67.04715581745518,67.16941857298475
6,14,24.904635972354303,46.86481131126307,65.67613873687745,66.72826181398484,66.70221813725489
6,15,26.692865499651965,48.05312533232334,65.88366453317292,66.46830491455842,66.27961601307189
6,16,28.33059691156593,47.94692941987764,65.10011595730576,65.69235623024136,65.15069035947711
6,17,28.85509621958451,47.17128839329593,64.47369072430203,65.3519348943281,63.34927423747276
6,18,30.811746985118834,48.926222958781096,65.06478954780084,65.47408426333496,64.77548474945533
6,19,40.314096302842174,53.073489625361375,65.55979620853509,65.86804057149176,66.1567116013072
6,20,49.07454146993462,55.32207736894382,65.21323335933458,66.21305366001619,66.45369008714596
6,21,47.84936598432245,53.93771865120614,64.66632776818737,66.04148765987877,66.51000680827886
6,22,49.07886840133988,55.17739159669305,64.53971694297873,65.39710006509725,67.11215675800233
6,23,54.167806739884334,58.00934467252865,65.66898003387402,66.1322742522935,67.05759395424836
