sensor;latitude;longitude
765451;34.068954999999995;-118.149699
765506;34.027636;-118.451568
768173;34.0652;-117.99823899999998
768328;34.073465999999996;-117.752923
768584;34.029663;-118.393001
768694;34.067948;-117.85860100000001
774440;34.068025;-118.036409
774729;34.0803;-117.736127
774744;34.081754;-117.71122199999999
775030;34.069126000000004;-117.96891699999999
716032;34.030775;-118.410926
716063;34.037101;-118.29631100000002
716076;34.055539;-118.192479
716084;34.061457;-118.1672
716088;34.064991;-118.157927
716091;34.071753;-118.143166
716101;34.071832;-118.11663700000001
716146;34.072511;-117.935267
716153;34.072328000000006;-117.916555
716172;34.067736;-117.835449
716174;34.066039;-117.83078300000001
716176;34.063875;-117.82244399999999
716193;34.081702;-117.728296
717012;34.033976;-118.38588100000001
717015;34.036716;-118.380202
717019;34.035788000000004;-118.37153300000001
717026;34.034407;-118.349375
717029;34.034638;-118.34498700000002
717031;34.034872;-118.34023400000001
717033;34.035296;-118.33138799999999
717036;34.037201;-118.313465
717040;34.037261;-118.307758
717041;34.037193;-118.302128
717043;34.037068;-118.291374
717045;34.037123;-118.28678400000001
717047;34.055358;-118.218052
717049;34.054970000000004;-118.21185700000001
717052;34.053902;-118.20811699999999
717055;34.0541;-118.204049
717060;34.055564000000004;-118.19800900000001
717065;34.059983;-118.174889
717071;34.064215999999995;-118.15923899999999
717073;34.069074;-118.150226
717079;34.071622;-118.13586699999999
717081;34.071638;-118.133568
717087;34.071774;-118.123819
717091;34.071785;-118.12193899999998
717095;34.071936;-118.109371
717101;34.07215;-118.10561299999999
717108;34.072167;-118.101821
717112;34.072105;-118.098446
717116;34.072179999999996;-118.09163400000001
717119;34.072201;-118.089125
717121;34.072284;-118.08241899999999
717125;34.072396000000005;-118.07461799999999
717129;34.072438;-118.072162
717134;34.072484;-118.06778600000001
717135;34.072652000000005;-118.058524
717139;34.071670000000005;-118.05009799999999
717142;34.069379999999995;-118.04466599999999
717150;34.068056;-118.029969
717154;34.068185;-118.025296
717157;34.064601;-118.01151100000001
717160;34.066446;-117.99076000000001
717162;34.067607;-117.981953
717167;34.067849;-117.98026599999999
717169;34.069036;-117.971134
717171;34.070478;-117.95990800000001
717176;34.072102;-117.94445900000001
717187;34.072428;-117.92816200000001
717192;34.072415;-117.926048
717196;34.072256;-117.90921100000001
717200;34.072228;-117.90608700000001
717202;34.072049;-117.891576
717207;34.072039000000004;-117.890051
717209;34.071983;-117.882663
717211;34.071940000000005;-117.87926999999999
717216;34.071895;-117.87429499999999
717220;34.070825;-117.865397
717224;34.069775;-117.86336899999999
717226;34.069004;-117.841567
717235;34.063811;-117.816375
717238;34.067757;-117.801171
717240;34.072823;-117.788077
717245;34.071692;-117.76833400000001
717246;34.070992;-117.761477
717249;34.073634000000006;-117.753041
717252;34.076827;-117.745221
717258;34.081790000000005;-117.722749
718020;34.055859999999996;-118.184275
718099;34.029824;-118.393074
718103;34.035074;-118.33577199999999
718332;34.058496999999996;-118.17825800000001
718411;34.031593;-118.43178300000001
718414;34.034001;-118.362192
737232;34.019209000000004;-118.479973
737242;34.023441999999996;-118.47358100000001
737258;34.027076;-118.45980800000001
737269;34.027815000000004;-118.453396
737292;34.031901;-118.422227
737329;34.055941;-118.212731
737345;34.061555;-118.170849
759178;34.011509999999994;-118.494778
759259;34.016226;-118.483718
759289;34.03832;-118.27713700000001
763325;34.031919;-118.416643
763330;34.036501;-118.319725
763341;34.029871;-118.40471799999999
763485;34.072957;-117.778456
763490;34.027892;-118.455203
763727;34.038432;-118.274707
763731;34.072109999999995;-117.89887900000001
763743;34.037273;-118.311174
764050;34.022987;-118.47488700000001
764059;34.030707;-118.438499
764201;34.06814;-117.858567
764206;34.068754;-117.843741
764227;34.071346000000005;-117.951448
764244;34.03412;-118.355593
764941;34.053592;-118.22256499999999
767329;34.067205;-118.019602
768174;34.065008;-118.00163899999998
768339;34.075354;-117.74888899999999
768349;34.079099;-117.73973000000001
768598;34.037043;-118.290383
768972;34.062613;-118.16573400000001
769097;34.032161;-118.26231200000001
769105;34.027895;-118.252761
769118;34.027772;-118.231902
773647;34.034324;-118.351897
774441;34.068217;-118.036409
774728;34.08052;-117.736225
774743;34.081947;-117.711221
775029;34.069318;-117.96891699999999
775552;34.066711;-117.98721
