day	hour	minute	value
5	0	40	35.5
5	0	50	35.5
5	1	0	35.8
5	1	10	35.8
5	1	20	36.0
5	1	30	35.6
5	1	40	35.6
5	1	50	35.6
5	2	0	35.7
5	2	10	35.7
5	2	20	35.8
5	2	30	36.0
5	2	40	36.0
5	2	50	36.0
5	3	0	36.4
5	3	10	36.4
5	3	20	36.4
5	3	30	36.5
5	3	40	36.6
5	3	50	36.5
5	4	0	36.5
5	4	10	36.6
5	4	20	36.5
5	4	30	36.4
5	4	40	36.4
5	4	50	36.4
5	5	0	36.4
5	5	10	36.6
5	5	20	36.6
5	5	30	37.3
5	5	40	37.9
5	5	50	38.9
5	6	0	39.6
5	6	10	41.2
5	6	20	44.1
5	6	30	47.9
5	6	40	52.9
5	6	50	55.0
5	7	0	55.1
5	7	10	59.1
5	7	20	61.2
5	7	30	65.0
5	7	40	62.6
5	7	50	61.5
5	8	0	57.9
5	8	10	60.0
5	8	20	62.7
5	8	30	65.8
5	8	40	63.0
5	8	50	60.1
5	9	0	55.7
5	9	10	52.3
5	9	20	59.8
5	9	30	56.1
5	9	40	56.9
5	9	50	52.9
5	10	0	51.3
5	10	10	48.5
5	10	20	47.8
5	10	30	48.8
5	10	40	50.7
5	10	50	48.8
5	11	0	47.1
5	11	10	45.4
5	11	20	44.3
5	11	30	44.2
5	11	40	45.5
5	11	50	44.1
5	12	0	43.3
5	12	10	43.2
5	12	20	44.0
5	12	30	44.0
5	12	40	45.8
5	12	50	47.7
5	13	0	45.3
5	13	10	43.2
5	13	20	42.4
5	13	30	41.9
5	13	40	42.6
5	13	50	42.6
5	14	0	42.4
5	14	10	42.7
5	14	20	44.1
5	14	30	44.6
5	14	40	46.6
5	14	50	45.1
5	15	0	44.0
5	15	10	43.1
5	15	20	42.4
5	15	30	50.7
5	15	40	42.5
5	15	50	42.5
5	16	0	41.0
5	16	10	39.6
5	16	20	39.5
5	16	30	40.2
5	16	40	40.7
5	16	50	40.1
5	17	0	40.5
5	17	10	40.4
5	17	20	40.9
5	17	30	42.0
5	17	40	40.9
5	17	50	40.7
5	18	0	40.5
5	18	10	40.5
5	18	20	40.1
5	18	30	40.2
5	18	40	39.8
5	18	50	39.5
5	19	0	39.3
5	19	10	39.1
5	19	20	38.0
5	19	30	37.5
5	19	40	37.3
5	19	50	36.9
5	20	0	36.8
5	20	10	36.9
5	20	20	36.5
5	20	30	36.5
5	20	40	36.5
5	20	50	36.4
5	21	0	36.2
5	21	10	36.2
5	21	20	36.3
5	21	30	36.2
5	21	40	36.3
5	21	50	36.2
5	22	0	35.9
5	22	10	36.0
5	22	20	36.0
5	22	30	36.2
5	22	40	36.0
5	22	50	36.1
5	23	0	36.2
5	23	10	36.1
5	23	20	35.8
5	23	30	35.6
5	23	40	35.6
5	23	50	35.8
6	0	0	35.4
6	0	10	35.4
6	0	20	35.5
6	0	30	35.4
6	0	40	35.5
6	0	50	35.4
6	1	0	35.4
6	1	10	35.4
6	1	20	35.4
6	1	30	35.8
6	1	40	35.4
6	1	50	35.4
6	2	0	35.3
6	2	10	35.3
6	2	20	35.4
6	2	30	35.5
6	2	40	35.6
6	2	50	35.5
6	3	0	35.6
6	3	10	35.7
6	3	20	35.7
6	3	30	35.9
6	3	40	36.1
6	3	50	36.0
6	4	0	36.0
6	4	10	36.2
6	4	20	36.1
6	4	30	36.2
6	4	40	36.1
6	4	50	36.1
6	5	0	36.2
6	5	10	36.2
6	5	20	36.1
6	5	30	36.1
6	5	40	35.9
6	5	50	36.1
6	6	0	35.9
6	6	10	35.9
6	6	20	35.9
6	6	30	35.9
6	6	40	36.0
6	6	50	36.0
6	7	0	35.9
6	7	10	36.2
6	7	20	36.2
6	7	30	36.5
6	7	40	36.5
6	7	50	36.4
6	8	0	36.4
6	8	10	36.4
6	8	20	36.4
6	8	30	36.8
6	8	40	37.5
6	8	50	38.4
6	9	0	38.1
6	9	10	37.0
6	9	20	37.0
6	9	30	38.3
6	9	40	38.6
6	9	50	39.3
6	10	0	39.4
6	10	10	38.8
6	10	20	39.5
6	10	30	41.0
6	10	40	42.0
6	10	50	42.5
6	11	0	42.1
6	11	10	42.7
6	11	20	42.5
6	11	30	42.9
6	11	40	43.6
6	11	50	44.4
6	12	0	43.2
6	12	10	43.5
6	12	20	44.6
6	12	30	44.9
6	12	40	44.7
6	12	50	44.9
6	13	0	45.0
6	13	10	44.5
6	13	20	45.7
6	13	30	45.7
6	13	40	47.2
6	13	50	48.2
6	14	0	46.8
6	14	10	46.0
6	14	20	46.4
6	14	30	47.0
6	14	40	46.6
6	14	50	47.8
6	15	0	46.5
6	15	10	46.5
6	15	20	48.9
6	15	30	47.9
6	15	40	48.2
6	15	50	47.6
6	16	0	46.5
6	16	10	46.0
6	16	20	44.8
6	16	30	44.8
6	16	40	43.9
6	16	50	43.5
6	17	0	42.4
6	17	10	41.4
6	17	20	40.6
6	17	30	40.6
6	17	40	40.5
6	17	50	40.0
6	18	0	39.9
6	18	10	39.3
6	18	20	39.1
6	18	30	39.1
6	18	40	38.9
6	18	50	38.7
6	19	0	38.6
6	19	10	38.2
6	19	20	37.9
6	19	30	37.7
6	19	40	37.8
6	19	50	37.6
6	20	0	37.2
6	20	10	37.1
6	20	20	37.1
6	20	30	37.0
6	20	40	36.7
6	20	50	36.5
6	21	0	36.5
6	21	10	36.4
6	21	20	36.5
6	21	30	36.3
6	21	40	36.3
6	21	50	36.3
6	22	0	36.2
6	22	10	36.2
6	22	20	36.5
6	22	30	36.5
6	22	40	36.5
6	22	50	36.4
6	23	0	36.2
6	23	10	36.4
6	23	20	36.3
6	23	30	35.9
6	23	40	35.8
6	23	50	35.6
7	0	0	35.5
7	0	10	35.5
7	0	20	35.4
7	0	30	35.5
7	0	40	35.8
7	0	50	35.7
7	1	0	35.6
7	1	10	35.4
7	1	20	35.7
7	1	30	35.7
7	1	40	35.3
7	1	50	35.3
7	2	0	35.4
7	2	10	35.3
7	2	20	35.3
7	2	30	35.4
7	2	40	35.4
7	2	50	35.5
7	3	0	35.5
7	3	10	35.5
7	3	20	35.5
7	3	30	35.5
7	3	40	35.6
7	3	50	35.5
7	4	0	35.6
7	4	10	35.7
7	4	20	35.7
7	4	30	35.8
7	4	40	35.9
7	4	50	35.6
7	5	0	35.6
7	5	10	35.7
7	5	20	35.5
7	5	30	35.6
7	5	40	35.4
7	5	50	35.5
7	6	0	35.4
7	6	10	35.4
7	6	20	35.4
7	6	30	35.5
7	6	40	35.3
7	6	50	35.2
7	7	0	35.4
7	7	10	35.5
7	7	20	35.3
7	7	30	35.4
7	7	40	35.4
7	7	50	35.3
7	8	0	35.3
7	8	10	35.4
7	8	20	35.6
7	8	30	35.5
7	8	40	35.5
7	8	50	35.6
7	9	0	35.6
7	9	10	35.5
7	9	20	35.7
7	9	30	35.9
7	9	40	36.0
7	9	50	36.3
7	10	0	36.4
7	10	10	36.5
7	10	20	36.8
7	10	30	37.4
7	10	40	38.3
7	10	50	38.9
7	11	0	39.5
7	11	10	40.3
7	11	20	41.0
7	11	30	41.0
7	11	40	41.0
7	11	50	41.8
7	12	0	41.8
7	12	10	41.7
7	12	20	42.6
7	12	30	43.4
7	12	40	45.0
7	12	50	45.5
7	13	0	45.4
7	13	10	46.1
7	13	20	45.8
7	13	30	45.7
7	13	40	46.2
7	13	50	47.0
7	14	0	46.8
7	14	10	46.7
7	14	20	47.5
7	14	30	48.2
7	14	40	48.4
7	14	50	48.9
7	15	0	49.1
7	15	10	47.8
7	15	20	47.2
7	15	30	47.1
7	15	40	47.4
7	15	50	47.3
7	16	0	46.3
7	16	10	44.8
7	16	20	44.5
7	16	30	44.0
7	16	40	43.2
7	16	50	42.6
7	17	0	41.5
7	17	10	40.6
7	17	20	40.0
7	17	30	39.6
7	17	40	39.4
7	17	50	39.1
7	18	0	38.6
7	18	10	37.9
7	18	20	37.6
7	18	30	37.2
7	18	40	37.0
7	18	50	36.9
7	19	0	36.7
7	19	10	36.4
7	19	20	36.4
7	19	30	36.2
7	19	40	36.4
7	19	50	36.2
7	20	0	36.1
7	20	10	36.2
7	20	20	36.4
7	20	30	36.2
7	20	40	36.2
7	20	50	36.2
7	21	0	36.0
7	21	10	36.1
7	21	20	36.4
7	21	30	36.3
7	21	40	36.0
7	21	50	35.9
7	22	0	35.7
7	22	10	35.9
7	22	20	35.9
7	22	30	35.7
