sensor,lat,lon
768643,33.998098,-118.40713799999999
774327,33.837641999999995,-118.26186799999999
767812,34.167832000000004,-118.468694
717715,33.814339000000004,-118.170657
718287,33.971692,-118.37786799999999
716689,33.907645,-118.37029
775120,34.120413,-118.480125
717717,33.814415999999994,-118.17465800000001
775184,34.103139,-118.47741599999999
716694,33.922518,-118.368733
767827,33.935626,-118.36842800000001
718280,33.900107,-118.37053200000001
772527,34.017417,-118.422742
716674,33.867162,-118.335421
718500,34.026762,-118.429852
718240,33.81422,-118.176769
717701,33.802146,-118.11488100000001
775239,34.071858,-118.465977
771939,33.836052,-118.25998700000001
771938,33.835887,-118.26015100000001
764590,33.931543,-118.36846899999999
718315,34.122572999999996,-118.478728
769195,33.859312,-118.29039399999999
771897,33.825139,-118.22103700000001
771954,33.976483,-118.387111
771879,33.825936,-118.204939
767351,34.180219,-118.47021799999999
718290,33.981637,-118.394402
716714,34.017528000000006,-118.422478
764604,33.871817,-118.341596
718219,33.79656,-118.1071
717758,33.889777,-118.359508
717816,34.15562,-118.4686
718308,34.063194,-118.458389
716733,34.110568,-118.48158000000001
771877,33.826128999999995,-118.20484099999999
761552,33.92018,-118.369447
717709,33.806351,-118.145379
716660,33.846115000000005,-118.27049299999999
717818,34.172195,-118.467528
771864,33.821364,-118.195249
717724,33.823917,-118.200267
718242,33.815581,-118.18588600000001
718284,33.94296,-118.36865700000001
717797,34.047688,-118.44716000000001
775156,34.050215,-118.448756
718245,33.818321000000005,-118.190469
718267,33.867323999999996,-118.335334
717806,34.124314,-118.47701200000002
717819,34.187843,-118.474071
717727,33.82586,-118.21384599999999
764578,33.965413,-118.37058799999998
767350,34.180108000000004,-118.470449
765171,34.167885999999996,-118.46895900000001
717795,34.035598,-118.438157
717711,33.812108,-118.162705
718310,34.073625,-118.467353
764598,33.92661,-118.36848700000002
718238,33.813628,-118.168139
718229,33.803664000000005,-118.13855600000001
716719,34.04188,-118.442407
771845,33.808534,-118.155818
717787,34.003299,-118.411239
717800,34.072019,-118.46587099999999
718297,34.026694,-118.430039
716663,33.858128,-118.286876
771915,33.825990999999995,-118.235032
718296,34.009564000000005,-118.41649
775183,34.10314,-118.477151
718314,34.110437,-118.481743
718266,33.864373,-118.32541599999999
717744,33.859903,-118.30728400000001
772438,34.013059999999996,-118.41922199999999
