weekday,hour,sensor,speed,cord_dist,timcost(s)
Fri,4,737184,70.0,0.148962179133,7.66091206972
Fri,4,717042,70.0,0.340110503862,17.4913973415
Fri,4,718335,70.0,0.22533323213,11.5885662238
Fri,4,717046,70.0,0.255663168922,13.1483915446
Fri,4,759385,70.0,0.0904857476117,4.65355273432
Fri,4,764026,70.0,0.447462339011,23.0123488634
Fri,4,759280,70.0,0.105476154458,5.42448794356
Fri,4,718419,70.0,0.617424156005,31.7532423088
Fri,5,759163,70.0,0.359968830928,18.5126827335
Fri,5,763646,68.7731489,0.367101726474,19.216310965
Fri,5,759257,64.90866455,0.298466506145,16.5537132765
Fri,5,737229,63.91768091,0.463044455644,26.079795396
Fri,5,737237,64.67518121,0.331633743457,18.4596541379
Fri,5,737246,64.67518121,0.495230868236,27.565923934
Fri,5,737257,64.67518121,0.473221710056,26.3408331346
Fri,5,765506,64.89509385,0.194941081901,10.8141903063
Fri,5,737278,61.71752302,0.581713573591,33.9315118698
Fri,5,764054,61.76158475,0.389840384067,22.7232735093
Fri,5,718410,61.76158475,0.0855063478113,4.98405041527
Fri,5,764125,61.76158475,0.0311858768722,1.81778296645
Fri,5,764130,61.76158475,0.443472105804,25.8493946902
Fri,5,718412,61.76158475,0.332085575828,19.3568231421
Fri,5,763336,61.76158475,0.323405727853,18.8508864367
Fri,5,717008,61.76158475,0.352426602843,20.542474345
Fri,5,717009,54.6856577,0.673135133352,44.3130170138
Fri,5,768584,58.35221161,0.22120743293,13.6472420937
Fri,5,717011,60.38112522,0.2858575914,17.0431956227
Fri,5,716036,63.34391797,0.492600941232,27.9957957333
Fri,5,717014,67.08411355,0.195175063099,10.4738691469
Fri,5,717016,67.39718945,0.18243484376,9.74470067513
Fri,5,717020,66.81586863,0.315358237241,16.9913177415
Fri,5,717022,62.63703646,0.235260885958,13.5213802778
Fri,5,718415,52.20291642,0.382244896793,26.3602442703
Fri,5,764249,55.45601944,0.202785825737,13.1641069811
Fri,5,763963,66.04020985,0.160249363192,8.73555230671
Fri,5,717028,66.04020985,0.23885863174,13.020719895
Fri,5,716047,66.04020985,0.281660265516,15.3539329775
Fri,5,716050,66.04020985,0.507642174496,27.672713826
Fri,5,717032,67.67553762,0.676415641228,35.9819277993
Fri,5,717035,68.97372299,0.20922687149,10.9203433527
Fri,5,763346,68.97372299,0.151614830175,7.91335257788
Fri,5,716057,68.97372299,0.327244195011,17.0801147302
Fri,5,717039,63.6076271,0.50785569921,28.7431020541
Fri,5,737184,63.6076271,0.148962179133,8.43081041268
Fri,5,717042,63.6076271,0.340110503862,19.2492295299
Fri,5,718335,62.07346389,0.22533323213,13.0683803486
Fri,5,717046,62.07346389,0.255663168922,14.8273892005
Fri,5,759385,62.07346389,0.0904857476117,5.24779303406
Fri,5,764026,62.07346389,0.447462339011,25.9509349002
Fri,5,759280,62.07346389,0.105476154458,6.11717362386
Fri,5,718419,62.07346389,0.617424156005,35.8080059066
Fri,6,759163,70.0,0.359968830928,18.5126827335
Fri,6,763646,69.2300002,0.367101726474,19.0895018271
Fri,6,759257,64.88751066,0.298466506145,16.5591099303
Fri,6,737229,64.30607567,0.463044455644,25.9222790841
Fri,6,737237,64.08497609,0.331633743457,18.6296625089
Fri,6,737246,64.08497609,0.495230868236,27.8197985616
Fri,6,737257,64.08497609,0.473221710056,26.5834250107
Fri,6,765506,64.5993895,0.194941081901,10.8636923704
Fri,6,737278,61.39144929,0.581713573591,34.1117352521
Fri,6,764054,61.7172384,0.389840384067,22.739601107
Fri,6,718410,61.7172384,0.0855063478113,4.98763165853
Fri,6,764125,61.7172384,0.0311858768722,1.81908911757
Fri,6,764130,61.7172384,0.443472105804,25.8679685333
Fri,6,718412,61.7172384,0.332085575828,19.3707318081
Fri,6,763336,61.7172384,0.323405727853,18.8644315665
Fri,6,717008,61.7172384,0.352426602843,20.5572349497
Fri,6,717009,56.2773404,0.673135133352,43.059719291
Fri,6,768584,60.40969219,0.22120743293,13.1824336407
Fri,6,717011,60.83533694,0.2858575914,16.9159468954
Fri,6,716036,64.04418467,0.492600941232,27.6896863872
Fri,6,717014,68.09686287,0.195175063099,10.3180997999
Fri,6,717016,68.42756651,0.18243484376,9.59796571809
Fri,6,717020,67.78971651,0.315358237241,16.7472252801
Fri,6,717022,61.67187417,0.235260885958,13.7329893221
Fri,6,718415,51.24117968,0.382244896793,26.854995085
Fri,6,764249,55.97888443,0.202785825737,13.0411489991
Fri,6,763963,65.92331036,0.160249363192,8.75104275468
Fri,6,717028,65.92331036,0.23885863174,13.0438090801
Fri,6,716047,65.92331036,0.281660265516,15.3811595674
Fri,6,716050,65.92331036,0.507642174496,27.7217848771
Fri,6,717032,67.2722924,0.676415641228,36.1976115507
Fri,6,717035,68.31801193,0.20922687149,11.025155974
Fri,6,763346,68.31801193,0.151614830175,7.98930433146
Fri,6,716057,68.31801193,0.327244195011,17.2440483667
Fri,6,717039,61.86998673,0.50785569921,29.5503621996
Fri,6,737184,61.86998673,0.148962179133,8.66759269273
Fri,6,717042,61.86998673,0.340110503862,19.7898509215
Fri,6,718335,52.56996185,0.22533323213,15.430858367
Fri,6,717046,52.56996185,0.255663168922,17.5078576383
Fri,6,759385,52.56996185,0.0904857476117,6.19647950918
Fri,6,764026,52.56996185,0.447462339011,30.6422976877
Fri,6,759280,52.56996185,0.105476154458,7.22302513996
Fri,6,718419,52.56996185,0.617424156005,42.2813120534
Fri,7,759163,70.0,0.359968830928,18.5126827335
Fri,7,763646,69.31036291,0.367101726474,19.0673682812
Fri,7,759257,63.6681314,0.298466506145,16.8762518782
Fri,7,737229,62.53820335,0.463044455644,26.6550676391
Fri,7,737237,60.51546435,0.331633743457,19.7285353301
Fri,7,737246,60.51546435,0.495230868236,29.4607526324
Fri,7,737257,60.51546435,0.473221710056,28.151451443
Fri,7,765506,51.84664419,0.194941081901,13.5358402806
Fri,7,737278,50.6793721,0.581713573591,41.3219181326
Fri,7,764054,55.90980795,0.389840384067,25.1015954821
Fri,7,718410,55.90980795,0.0855063478113,5.50570397945
Fri,7,764125,55.90980795,0.0311858768722,2.00804046475
Fri,7,764130,55.90980795,0.443472105804,28.5549108365
Fri,7,718412,55.90980795,0.332085575828,21.3827969871
Fri,7,763336,55.90980795,0.323405727853,20.8239066268
Fri,7,717008,55.90980795,0.352426602843,22.6925438802
Fri,7,717009,54.36981495,0.673135133352,44.5704382532
Fri,7,768584,54.79450349,0.22120743293,14.5333328678
Fri,7,717011,52.22994991,0.2858575914,19.7030119848
Fri,7,716036,54.49525471,0.492600941232,32.5416111526
Fri,7,717014,56.95491648,0.195175063099,12.3366035907
Fri,7,717016,61.58165258,0.18243484376,10.6649531154
Fri,7,717020,60.10824536,0.315358237241,18.8874196422
Fri,7,717022,45.87271218,0.235260885958,18.4628104422
Fri,7,718415,39.89135375,0.382244896793,34.4957365217
Fri,7,764249,43.66085163,0.202785825737,16.7204473893
Fri,7,763963,46.04900868,0.160249363192,12.5279072021
Fri,7,717028,46.04900868,0.23885863174,18.6733894803
Fri,7,716047,46.04900868,0.281660265516,22.0195175732
Fri,7,716050,46.04900868,0.507642174496,39.6862360466
Fri,7,717032,43.30221656,0.676415641228,56.2349113248
Fri,7,717035,44.32311684,0.20922687149,16.9937673851
Fri,7,763346,44.32311684,0.151614830175,12.314418018
Fri,7,716057,44.32311684,0.327244195011,26.5793379624
Fri,7,717039,26.18824839,0.50785569921,69.8130126891
Fri,7,737184,26.18824839,0.148962179133,20.4772704495
Fri,7,717042,26.18824839,0.340110503862,46.7537116522
Fri,7,718335,21.71683312,0.22533323213,37.3534958429
Fri,7,717046,21.71683312,0.255663168922,42.3812902662
Fri,7,759385,21.71683312,0.0904857476117,14.999824772
Fri,7,764026,21.71683312,0.447462339011,74.1758437585
Fri,7,759280,21.71683312,0.105476154458,17.4847849109
Fri,7,718419,21.71683312,0.617424156005,102.350418652
Fri,8,759163,70.0,0.359968830928,18.5126827335
Fri,8,763646,59.81071084,0.367101726474,22.0958118829
Fri,8,759257,52.63214877,0.298466506145,20.4148879959
Fri,8,737229,46.93532093,0.463044455644,35.5161104109
Fri,8,737237,44.31864034,0.331633743457,26.9385853737
Fri,8,737246,44.31864034,0.495230868236,40.2275681739
Fri,8,737257,44.31864034,0.473221710056,38.4397658216
Fri,8,765506,37.29923929,0.194941081901,18.8150725913
Fri,8,737278,39.92216968,0.581713573591,52.4562888669
Fri,8,764054,50.62590097,0.389840384067,27.7214895094
Fri,8,718410,50.62590097,0.0855063478113,6.08034318842
Fri,8,764125,50.62590097,0.0311858768722,2.21762288846
Fri,8,764130,50.62590097,0.443472105804,31.5352329599
Fri,8,718412,50.62590097,0.332085575828,23.6145540143
Fri,8,763336,50.62590097,0.323405727853,22.9973313652
Fri,8,717008,50.62590097,0.352426602843,25.0610013042
Fri,8,717009,48.47110534,0.673135133352,49.9944546977
Fri,8,768584,44.89370926,0.22120743293,17.7384932471
Fri,8,717011,43.91305738,0.2858575914,23.4346545296
Fri,8,716036,45.96214588,0.492600941232,38.58312867
Fri,8,717014,47.70379599,0.195175063099,14.7290212985
Fri,8,717016,50.7726229,0.18243484376,12.9354246447
Fri,8,717020,49.76189355,0.315358237241,22.81443838
Fri,8,717022,35.64283791,0.235260885958,23.7618337683
Fri,8,718415,30.46788363,0.382244896793,45.164988982
Fri,8,764249,32.39816385,0.202785825737,22.5330353916
Fri,8,763963,32.47504996,0.160249363192,17.7643362582
Fri,8,717028,32.47504996,0.23885863174,26.4785142847
Fri,8,716047,32.47504996,0.281660265516,31.2232608451
Fri,8,716050,32.47504996,0.507642174496,56.274334618
