day	hour	minute	value
6	12	20	47.7
6	12	30	49.1
6	12	40	49.1
6	12	50	48.8
6	13	0	48.7
6	13	10	49.2
6	13	20	50.3
6	13	30	50.4
6	13	40	49.9
6	13	50	49.4
6	14	0	49.3
6	14	10	50.6
6	14	20	51.6
6	14	30	52.2
6	14	40	52.4
6	14	50	51.6
6	15	0	51.8
6	15	10	53.1
6	15	20	54.4
6	15	30	55.2
6	15	40	55.5
6	15	50	55.7
6	16	0	56.7
6	16	10	57.5
6	16	20	57.7
6	16	30	59.2
6	16	40	59.7
6	16	50	59.1
6	17	0	58.5
6	17	10	60.7
6	17	20	61.6
6	17	30	61.6
6	17	40	60.2
6	17	50	59.2
6	18	0	58.7
6	18	10	58.1
6	18	20	59.5
6	18	30	59.6
6	18	40	57.2
6	18	50	55.0
6	19	0	52.8
6	19	10	52.8
6	19	20	52.4
6	19	30	50.7
6	19	40	47.9
6	19	50	46.4
6	20	0	45.8
6	20	10	45.1
6	20	20	44.3
6	20	30	43.7
6	20	40	42.9
6	20	50	42.4
6	21	0	42.1
6	21	10	42.3
6	21	20	42.0
6	21	30	42.1
6	21	40	41.6
6	21	50	41.3
6	22	0	41.5
6	22	10	41.7
6	22	20	42.2
6	22	30	42.3
6	22	40	41.9
6	22	50	40.7
6	23	0	40.4
6	23	10	40.5
6	23	20	39.9
6	23	30	39.2
6	23	40	38.6
6	23	50	38.6
7	0	0	38.2
7	0	10	38.1
7	0	20	37.9
7	0	30	37.9
7	0	40	37.8
7	0	50	37.7
7	1	0	37.5
7	1	10	37.7
7	1	20	37.7
7	1	30	37.6
7	1	40	37.5
7	1	50	37.6
7	2	0	37.5
7	2	10	37.4
7	2	20	37.6
7	2	30	37.6
7	2	40	37.5
7	2	50	37.7
7	3	0	37.8
7	3	10	37.8
7	3	20	37.8
7	3	30	37.9
7	3	40	37.9
7	3	50	37.8
7	4	0	38.1
7	4	10	38.1
7	4	20	38.2
7	4	30	38.4
7	4	40	38.2
7	4	50	38.3
7	5	0	38.4
7	5	10	38.4
7	5	20	38.3
7	5	30	38.6
7	5	40	38.1
7	5	50	38.2
7	6	0	38.1
7	6	10	38.0
7	6	20	37.9
7	6	30	37.9
7	6	40	37.5
7	6	50	37.6
7	7	0	37.8
7	7	10	37.7
7	7	20	37.8
7	7	30	37.7
7	7	40	37.6
7	7	50	37.8
7	8	0	37.8
7	8	10	37.7
7	8	20	37.7
7	8	30	37.8
7	8	40	37.8
7	8	50	37.7
7	9	0	37.7
7	9	10	37.8
7	9	20	37.9
7	9	30	38.0
7	9	40	38.0
7	9	50	37.9
7	10	0	38.1
7	10	10	38.1
7	10	20	38.1
7	10	30	38.2
7	10	40	38.4
7	10	50	38.8
7	11	0	38.6
7	11	10	39.0
7	11	20	39.1
7	11	30	39.2
7	11	40	39.5
7	11	50	39.6
7	12	0	39.8
7	12	10	40.0
7	12	20	40.2
7	12	30	40.8
7	12	40	40.8
7	12	50	40.8
7	13	0	40.9
