weekday,hour,sensor,speed,cord_dist,timcost(s)
Thu,10,718411,49.9867237,0.390200985617,28.1019327582
Thu,10,764059,49.1444512,0.877803633895,64.3021339105
Thu,10,737269,44.91943003,0.103833126708,8.32154940296
Thu,10,763490,49.2535584,0.270184558102,19.748104315
Thu,10,737258,70.0,0.829144693387,42.6417270885
Thu,10,737242,70.0,0.0812472294191,4.17842894156
Thu,10,764050,61.47960606,0.391160051663,22.9047691784
Thu,10,737232,61.26710882,0.297439128349,17.4772546425
Thu,10,759259,62.67818183,0.71317918722,40.962341265
Thu,11,769097,70.0,0.832277374339,42.8028363946
Thu,11,763727,70.0,0.139645510695,7.18176912148
Thu,11,759289,64.81807512,0.559657973601,31.083439322
Thu,11,717045,58.00959223,0.206585251811,12.8204125892
Thu,11,768598,57.02905039,0.0568899838032,3.59122132126
Thu,11,717043,55.26151079,0.283295602159,18.4552349943
Thu,11,716063,52.00054375,0.33384110502,23.1118348271
Thu,11,717041,48.79689751,0.323084466206,23.8356153299
Thu,11,717040,67.16664196,0.196012381761,10.5058784204
Thu,11,763743,70.0,0.1315516349,6.76551265199
Thu,11,717036,63.57476359,0.362427303781,20.522896507
Thu,11,763330,45.72201922,0.674369496326,53.0976152889
Thu,11,717033,39.7643108,0.252025699416,22.8167545129
Thu,11,718103,47.79188646,0.256415442797,19.3149018054
Thu,11,717031,61.80902778,0.273212412862,15.9129616114
Thu,11,717029,59.18165917,0.252295142898,15.3470268859
Thu,11,717026,38.02441312,0.144830724592,13.7119962085
Thu,11,773647,36.10629141,0.212550235517,21.1924520071
Thu,11,764244,36.68975748,0.378754760679,37.1634274004
Thu,11,718414,37.06573345,0.54997232596,53.4159232577
Thu,11,717019,33.69343978,0.501529913513,53.586327203
Thu,11,717015,54.08274648,0.376637978738,25.0707815654
Thu,11,717012,52.40362213,0.502262402942,34.5041922123
Thu,11,718099,41.97249665,0.668200635419,57.3118703795
Thu,11,763341,59.30671551,0.361652856304,21.9528306617
Thu,11,716032,65.87008895,0.337407756487,18.4403565065
Thu,11,763325,64.32356504,0.320433372172,17.9337096615
Thu,11,737292,60.82982739,0.54877111228,32.4770937051
Thu,11,718411,56.62879262,0.390200985617,24.8058184402
Thu,11,764059,56.31644544,0.877803633895,56.1131487851
Thu,11,737269,55.97388692,0.103833126708,6.67810074869
Thu,11,763490,60.56110268,0.270184558102,16.0608768025
Thu,11,737258,64.18205409,0.829144693387,46.5070951454
